step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,97,1,2.341338291,0,0.448717949
2,362,2,2.141686977,0,0.564516129
3,539,3,2.337916949,0,0.456790123
4,588,4,1.210839288,0,0.655172414
5,933,5,1.784196942,0,0.56402439
6,1086,6,1.887110257,0,0.61971831
7,1223,7,2.177651661,0,0.516129032
8,1360,8,2.481299152,0,0.492063492
9,1521,9,1.821247835,0,0.606896552
10,1930,10,2.261260453,0,0.486979167
11,2091,11,2.524257639,0,0.389261745
12,2524,12,1.944170523,0,0.600973236
13,2861,13,1.97268631,0,0.552715655
14,3134,14,1.831353367,0,0.556
15,3327,15,2.340874927,0,0.421348315
16,3480,16,2.123188782,0,0.553191489
17,3793,17,1.6467022,0,0.649659864
18,3874,18,2.191038509,0,0.391304348
19,4003,19,1.709930915,0,0.484848485
20,4348,20,2.192108004,0,0.492492492
21,4405,21,2.039853217,0,0.565217391
22,4502,22,1.85125899,0,0.445783133
23,4639,23,2.561513447,0,0.451612903
24,5176,24,2.071756535,0,0.545801527
25,5361,25,1.597447233,0,0.603448276
26,5514,26,2.481851907,0,0.446808511
27,5571,27,1.156986581,0,0.419354839
28,5796,28,1.714284495,0,0.425806452
29,6261,29,1.522729008,0,0.655480984
30,6358,30,2.230195094,0,0.409090909
31,6599,31,1.515061495,0,0.624413146
32,6688,32,1.672136247,0,0.564102564
33,7057,33,2.03528648,0,0.494285714
34,7098,34,2.392246994,0,0.454545455
35,7347,35,1.633048843,0,0.545023697
36,7468,36,2.471266909,0,0.52293578
37,7557,37,1.978518073,0,0.430555556
38,7590,38,1.341123232,0,0.611111111
39,7743,39,2.086060339,0,0.51048951
40,7824,40,1.744269244,0,0.5625
41,7913,41,1.989861591,0,0.506493506
42,7986,42,1.519244913,0,0.490196078
43,8243,43,1.930896036,0,0.521367521
44,8492,44,1.688828807,0,0.6069869
45,8621,45,1.894689535,0,0.50877193
46,8926,46,2.014512392,0,0.52739726
47,9007,47,1.965103664,0,0.455882353
48,9264,48,2.182904188,0,0.483471074
49,9385,49,1.494274631,0,0.594339623
50,9634,50,2.559399168,0,0.424489796
51,9675,51,2.287650958,0,0.419354839
52,9916,52,1.767392971,0,0.617021277
53,10109,53,2.038112989,0,0.473684211
54,10326,54,1.3279284,0,0.665024631
55,10703,55,1.766561297,0,0.620498615
56,10800,56,1.149517866,0,0.686046512
57,11161,57,1.544023619,0,0.602409639
58,11234,58,1.093935991,0,0.592592593
59,11387,59,1.69053697,0,0.545454545
60,11532,60,1.71229663,0,0.6
61,11797,61,1.857656663,0,0.60311284
62,12038,62,1.525712915,0,0.63876652
63,12095,63,1.676552525,0,0.531914894
64,12352,64,2.180215956,0,0.520661157
65,12441,65,2.147955508,0,0.415584416
66,12890,66,1.646300673,0,0.605568445
67,13011,67,1.547425431,0,0.56122449
68,13148,68,1.656289068,0,0.509259259
69,13373,69,2.185345035,0,0.497630332
70,13718,70,1.727028904,0,0.584415584
71,13871,71,1.726893994,0,0.563380282
72,13936,72,1.368234326,0,0.672727273
73,14025,73,1.306032943,0,0.537313433
74,14186,74,1.810611412,0,0.510638298
75,14347,75,1.968568082,0,0.535483871
